T_K,rho_mol_m3,P_Pa,Z_PR
304.378200,13647.058824,8.061107752127e6,0.233403805885
304.378200,13764.705882,8.117117554575e6,0.233016765797
304.378200,13882.352941,8.176467102912e6,0.232731346763
304.378200,14000.000000,8.239271577562e6,0.232548237800
304.378200,14117.647059,8.305648046745e6,0.232468157800
304.378200,14235.294118,8.375715527434e6,0.232491855981
304.378200,14352.941176,8.449595047910e6,0.232620112367
304.378200,14470.588235,8.527409711966e6,0.232853738293
304.378200,14588.235294,8.609284764831e6,0.233193576925
304.378200,14705.882353,8.695347660885e6,0.233640503806
304.378200,14823.529412,8.785728133239e6,0.234195427425
304.378200,14941.176471,8.880558265245e6,0.234859289817
304.378200,15058.823529,8.979972564031e6,0.235633067173
304.378200,15176.470588,9.084108036129e6,0.236517770495
304.378200,15294.117647,9.193104265280e6,0.237514446257
304.378200,15411.764706,9.307103492516e6,0.238624177115
304.378200,15529.411765,9.426250698595e6,0.239848082625
304.378200,15647.058824,9.550693688899e6,0.241187320005
304.378200,15764.705882,9.680583180878e6,0.242643084920
304.378200,15882.352941,9.816072894164e6,0.244216612299
304.378200,16000.000000,9.957319643434e6,0.245909177187
304.503200,2000.000000,3.913971078336e6,0.772968098807
304.503200,2117.647059,4.082263262169e6,0.761414921066
304.503200,2235.294118,4.244680757446e6,0.750039803307
304.503200,2352.941176,4.401364835568e6,0.738839751204
304.503200,2470.588235,4.552453742311e6,0.727811857068
304.503200,2588.235294,4.698082809404e6,0.716953297178
304.503200,2705.882353,4.838384562068e6,0.706261329229
304.503200,2823.529412,4.973488822716e6,0.695733289876
304.503200,2941.176471,5.103522810989e6,0.685366592374
304.503200,3058.823529,5.228611240294e6,0.675158724316
304.503200,3176.470588,5.348876411005e6,0.665107245454
304.503200,3294.117647,5.464438300492e6,0.655209785607
304.503200,3411.764706,5.575414650103e6,0.645464042654
304.503200,3529.411765,5.681921049263e6,0.635867780599
304.503200,3647.058824,5.784071016797e6,0.626418827715
304.503200,3764.705882,5.881976079623e6,0.617115074758
304.503200,3882.352941,5.975745848928e6,0.607954473246
304.503200,4000.000000,6.065488093938e6,0.598935033815
304.503200,4117.647059,6.151308813396e6,0.590054824623
304.503200,4235.294118,6.233312304853e6,0.581311969829
304.503200,4352.941176,6.311601231870e6,0.572704648115
304.503200,4470.588235,6.386276689224e6,0.564231091284
304.503200,4588.235294,6.457438266216e6,0.555889582887
304.503200,4705.882353,6.525184108160e6,0.547678456927
304.503200,4823.529412,6.589610976142e6,0.539596096592
304.503200,4941.176471,6.650814305130e6,0.531640933047
304.503200,5058.823529,6.708888260505e6,0.523811444270
304.503200,5176.470588,6.763925793093e6,0.516106153931
304.503200,5294.117647,6.816018692761e6,0.508523630314
304.503200,5411.764706,6.865257640661e6,0.501062485277
304.503200,5529.411765,6.911732260158e6,0.493721373262
304.503200,5647.058824,6.955531166537e6,0.486498990329
304.503200,5764.705882,6.996742015524e6,0.479394073237
